Colony,Nest,Day,ScaledX,ScaledY,Density
5,Circle,10,3.707730072,1.190217391,High
5,Circle,10,3.736931072,1.171894602,High
5,Circle,11,3.501461988,1.275584795,High
5,Circle,11,3.557249455,1.318687364,High
5,Circle,11,3.693956506,1.204921418,High
5,Circle,11,3.818687364,1.250907771,High
5,Circle,12,3.483597342,1.170977011,High
5,Circle,12,3.609892178,1.457724781,High
5,Circle,12,3.627275503,1.163793103,High
5,Circle,12,3.678119518,1.228678728,High
5,Circle,13,3.565820652,1.347826087,High
5,Circle,13,3.695335277,1.229956268,High
5,Circle,13,3.761472826,1.154588768,High
5,Circle,13,3.76336188,1.030734329,High
5,Tube,4,2.850574713,1.199233716,High
5,Tube,4,2.892720307,1.657088123,High
5,Tube,4,2.996313191,1.043266129,High
5,Tube,4,2.996313191,1.466973886,High
5,Tube,5,2.786118168,1.174620862,High
5,Tube,5,2.893518519,1.377314815,High
5,Tube,5,2.962962963,1.697530864,High
5,Tube,5,3.006799461,1.685271363,High
5,Tube,6,2.813373379,1.168319985,High
5,Tube,6,2.843884439,1.618358124,High
5,Tube,7,2.790519878,1.121941896,High
5,Tube,7,2.832820661,1.28968318,High
5,Tube,7,2.912844037,1.622706422,High
5,Tube,7,2.994110983,1.642985791,High
5,Tube,8,2.789676689,1.53898888,High
5,Tube,8,2.82080486,1.214559387,High
5,Tube,8,2.833607908,1.146348847,High
5,Tube,8,2.866362946,0.85440613,High
5,Tube,9,2.799377916,1.230559876,High
5,Tube,9,2.884313725,1.648366667,High
5,Tube,9,2.894770588,1.515033333,High
5,Tube,9,2.896578538,0.925349922,High
5,Tube,10,2.79729313,0.964090554,High
5,Tube,10,2.823315769,1.31147541,High
5,Tube,10,2.869937695,1.437564252,High
5,Tube,10,2.94522391,1.621884735,High
5,Tube,11,2.753537736,1.554638365,High
5,Tube,11,3.033333333,0.871121718,High
5,Tube,11,3.213443396,1.676493711,High
5,Tube,11,3.664705882,0.863166269,High
5,Tube,12,2.782352941,1.033333333,High
5,Tube,12,2.832040698,1.394703488,High
5,Tube,12,2.833333333,1.554901961,High
5,Tube,12,2.914728682,1.604005814,High
5,Tube,13,2.869273302,0.904423381,High
5,Tube,13,2.968009479,1.682464455,High
6,Circle,4,3.91392525,1.447305079,High
6,Circle,5,3.984263233,1.273247496,High
6,Circle,5,4.056399132,1.146059291,High
6,Circle,6,3.960573477,1.32078853,High
6,Circle,6,3.977897849,1.413978495,High
6,Circle,7,4.161267099,1.195104392,High
6,Circle,7,4.245350501,1.300071531,High
6,Circle,8,3.793103448,1.567887931,High
6,Circle,8,4.240460763,1.393088553,High
6,Circle,9,3.813620072,1.347670251,High
6,Circle,9,3.922720798,1.330128205,High
6,Circle,10,3.770983813,1.689447842,High
6,Circle,10,3.87701745,1.594408316,High
6,Circle,11,3.804895608,1.532276818,High
6,Circle,11,4.020467836,1.628289474,High
6,Circle,12,3.683548851,1.320485368,High
6,Circle,12,3.727598566,1.20609319,High
6,Circle,13,3.813186813,1.161347518,High
6,Circle,13,3.867243867,1.367243867,High
6,Tube,4,2.843701997,0.921658986,High
6,Tube,4,2.861491629,0.993150685,High
6,Tube,5,2.761250953,1.46071701,High
6,Tube,5,2.761250953,1.5064836,High
6,Tube,6,2.748470948,1.21559633,High
6,Tube,6,2.832522303,1.041666667,High
6,Tube,7,2.730811192,1.126543881,High
6,Tube,7,2.842377907,1.220930233,High
6,Tube,8,2.821910047,1.07736176,High
6,Tube,8,2.846899225,1.003875969,High
6,Tube,9,2.825721749,1.039731037,High
6,Tube,9,2.869066901,0.827464789,High
6,Tube,10,2.795950156,1.113707165,High
6,Tube,10,2.828758824,1.035294118,High
6,Tube,11,2.544677545,1.469827117,High
6,Tube,11,2.878787879,0.851462704,High
6,Tube,12,2.769379845,0.980620155,High
6,Tube,12,2.852494577,0.53868402,High
6,Tube,13,2.90316358,0.918209877,High
7,Circle,4,3.262527233,1.542605301,High
7,Circle,4,3.270393972,1.564391794,High
7,Circle,5,3.774259461,1.575085517,High
7,Circle,5,3.944322003,1.804336623,High
7,Circle,6,3.524610746,1.57590095,High
7,Circle,6,3.554582422,1.746292852,High
7,Circle,7,3.406880015,1.624726477,High
7,Circle,7,3.509057971,1.614130435,High
7,Circle,8,3.540603574,1.483101751,High
7,Circle,8,3.690038546,1.555923275,High
7,Circle,9,3.434562545,1.711858279,High
7,Circle,9,3.673992674,1.707569597,High
7,Circle,10,3.319961707,1.71833151,High
7,Circle,10,3.463693348,1.653265716,High
7,Circle,11,3.795487627,1.946870451,High
7,Circle,11,3.922852984,1.483502547,High
7,Circle,12,3.498168498,1.638584249,High
7,Circle,12,3.665458333,1.687802536,High
7,Circle,13,3.417030568,1.582969432,High
7,Circle,13,3.679477088,1.186868071,High
7,Tube,4,2.068396262,1.890413806,High
7,Tube,4,2.083966895,2.227929985,High
7,Tube,5,2.33536804,2.776506484,High
7,Tube,5,2.443035714,2.964021739,High
7,Tube,6,2.220319635,2.679476788,High
7,Tube,6,2.381676158,2.822703113,High
7,Tube,7,2.381244881,1.552006552,High
7,Tube,7,2.595960227,2.847854167,High
7,Tube,8,1.981409615,2.003205769,High
7,Tube,8,5.423763179,2.907542579,High
7,Tube,9,2.143410853,1.911498062,High
7,Tube,9,2.26421124,1.661498062,High
7,Tube,10,3.077317588,2.866104071,High
7,Tube,10,3.086918203,2.837941628,High
7,Tube,11,2.406120756,2.85429591,High
7,Tube,11,3.126286651,2.829861111,High
7,Tube,12,2.346676289,2.806645497,High
7,Tube,12,2.539222608,2.747555941,High
7,Tube,13,2.321016166,1.501154734,High
7,Tube,13,2.740654762,2.768817204,High
8,Circle,5,3.39836492,0.943887031,High
8,Circle,5,3.754490896,1.308682646,High
8,Circle,6,3.387977548,1.076265146,High
8,Circle,6,3.734853885,0.760276194,High
8,Circle,7,3.711238987,0.716943155,High
8,Circle,8,3.648748159,1.010677467,High
8,Circle,9,3.361582535,0.945099484,High
8,Circle,9,3.516335667,0.596291452,High
8,Circle,11,3.591322268,0.70309586,High
8,Circle,11,3.643541589,0.911973144,High
8,Circle,12,3.300633714,0.448280821,High
8,Circle,12,3.702968298,0.902769887,High
8,Circle,14,3.529410903,1.083109938,High
8,Circle,14,3.724676294,0.802417427,High
8,Circle,15,3.529410903,1.083109938,High
8,Circle,15,3.724676294,0.802417427,High
8,Circle,16,3.165535445,0.947083333,High
8,Circle,16,3.424458899,0.881725113,High
8,Tube,3,2.984313725,0.719607843,High
8,Tube,3,4.60915098,1.360131373,High
8,Tube,4,4.584790769,0.804845787,High
8,Tube,5,4.242994563,1.396208699,High
8,Tube,5,4.482084902,0.745154747,High
8,Tube,6,3.084696663,0.692287036,High
8,Tube,6,4.724322226,0.936684054,High
8,Tube,7,4.507954346,0.717835944,High
8,Tube,8,4.486634458,0.704880397,High
8,Tube,9,4.669368303,1.144551771,High
8,Tube,11,3.034498037,1.002753279,High
8,Tube,11,4.12316489,1.403462277,High
8,Tube,12,4.564183835,0.965398177,High
8,Tube,12,4.450608162,0.715794374,High
8,Tube,13,3.008690567,0.777095475,High
8,Tube,13,4.502172163,0.692101227,High
9,Circle,6,2.983696443,1.181622878,High
9,Circle,6,3.245082862,1.328482215,High
9,Circle,6,3.300323363,1.151980598,High
9,Circle,6,3.548235651,1.618162894,High
9,Circle,6,3.75033751,1.381028698,High
9,Circle,6,3.97938561,1.808811641,High
9,Circle,6,4.492724333,1.59458367,High
9,Circle,6,4.556048909,1.168821746,High
9,Circle,7,2.905034001,0.884037223,High
9,Circle,7,3.057145669,1.798496779,High
9,Circle,7,3.126342162,1.225841088,High
9,Circle,7,3.455619184,1.030184324,High
9,Circle,7,3.673944166,1.596277738,High
9,Circle,7,3.700191482,1.307564424,High
9,Circle,7,4.086734073,1.321880816,High
9,Circle,7,4.237056192,1.875447387,High
9,Circle,8,2.661348803,1.594755257,High
9,Circle,8,2.963500725,1.490813996,High
9,Circle,8,3.384095359,0.92518673,High
9,Circle,8,3.529127991,1.104060914,High
9,Circle,8,3.671742204,1.86789884,High
9,Circle,8,3.775683466,1.024292966,High
9,Circle,8,4.065748731,1.22008702,High
9,Circle,8,4.186608049,0.879260334,High
9,Circle,9,2.863827612,0.911105136,High
9,Circle,9,3.002340311,1.359886279,High
9,Circle,9,3.133465665,1.987810513,High
9,Circle,9,3.247969496,1.093326901,High
9,Circle,9,3.305836408,1.280472332,High
9,Circle,9,3.754002555,1.23984194,High
9,Circle,9,3.831569667,1.533488862,High
9,Circle,9,4.014406429,1.385741983,High
9,Circle,10,3.234504026,1.404954246,High
9,Circle,10,3.239385066,0.878477306,High
9,Circle,10,3.782942899,1.25,High
9,Circle,10,3.887871523,1.047461567,High
9,Circle,10,4.06295754,1.89238653,High
9,Circle,10,4.133113104,1.167033309,High
9,Circle,10,4.278307101,1.068204612,High
9,Circle,12,2.841739766,1.069078947,High
9,Circle,12,2.918494152,1.365131579,High
9,Circle,12,3.464912281,1.175073099,High
9,Circle,12,3.475877193,2.1875,High
9,Circle,12,3.636695906,1.292032164,High
9,Circle,12,3.732944079,1.769614401,High
9,Circle,12,3.837719298,0.964303728,High
9,Circle,12,3.851120249,1.290813231,High
9,Circle,13,2.758514169,1.544867636,High
9,Circle,13,3.215883669,0.958240119,High
9,Circle,13,3.338926174,0.995525727,High
9,Circle,13,3.84601044,1.211782252,High
9,Circle,13,4.125652498,1.498881432,High
9,Circle,13,4.332587621,1.759880686,High
9,Circle,13,4.397837435,0.945190157,High
9,Circle,13,4.492915735,1.39448173,High
9,Circle,14,2.900149589,1.30329095,High
9,Circle,14,3.165669409,1.275243082,High
9,Circle,14,3.270381451,0.938668661,High
9,Circle,14,3.403141361,1.593118923,High
9,Circle,14,3.593866866,1.02842184,High
9,Circle,14,3.964098728,1.957741212,High
9,Circle,14,3.995886313,1.44540015,High
9,Circle,14,4.003365744,1.151832461,High
9,Circle,15,2.665468488,1.386608981,High
9,Circle,15,2.798013245,1.555678808,High
9,Circle,15,2.802919426,0.83946468,High
9,Circle,15,2.888765636,1.315305372,High
9,Circle,15,2.892507967,1.380836791,High
9,Circle,15,2.935478074,1.005003719,High
9,Circle,15,3.084914304,1.188430453,High
9,Circle,15,3.115699318,1.350051777,High
9,Circle,15,3.185553716,2.024159308,High
9,Circle,15,3.190458057,1.197571744,High
9,Circle,15,3.392764444,1.33465927,High
9,Circle,15,3.602525754,1.496811994,High
9,Circle,15,4.047586705,1.297461352,High
9,Circle,15,4.230439662,1.572847682,High
9,Circle,15,4.431567329,1.538508094,High
9,Circle,16,2.94367284,1.385673225,High
