Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
13,Tube,7,3.314718913,1.919210722,5,14,Low
13,Tube,7,4.42231385,1.937825763,6,15,Low
13,Tube,8,4.359534207,1.883793668,6,15,Low
13,Tube,8,4.79500182,1.92988901,6,17,Low
13,Tube,8,4.944201237,2.012372635,6,18,Low
13,Tube,9,2.597078402,1.936945266,4,12,Low
13,Tube,9,3.88683432,1.956360947,5,14,Low
13,Tube,9,4.744822485,1.963757396,6,16,Low
13,Tube,10,2.54726306,1.552860075,3,9,Low
13,Tube,10,4.692164179,1.955223881,6,13,Low
13,Tube,10,5.080223881,1.910447761,6,15,Low
13,Tube,11,2.833078101,1.960183767,4,14,Low
13,Tube,11,3.323124043,1.935936064,5,15,Low
13,Tube,11,4.927258806,1.939127106,6,16,Low
13,Tube,12,2.347748412,1.514941178,3,10,Low
13,Tube,12,4.026603956,1.936703828,5,19,Low
13,Tube,12,4.851216133,1.747572595,6,22,Low
13,Tube,13,2.744230769,1.925,4,16,Low
13,Tube,13,3.426923077,1.976923077,5,17,Low
13,Tube,13,4.841025,2.002563462,6,21,Low
13,Tube,14,2.413723917,1.563001605,3,8,Low
13,Tube,14,2.530096308,1.956260032,4,11,Low
13,Tube,14,3.543338684,1.95024077,5,16,Low
14,Circle,3,2.951517395,2.938564027,7,139,Low
14,Circle,5,2.502443778,2.247005684,5,164,Low
14,Circle,7,5.081300813,0.975609756,2,24,Low
14,Circle,8,3.870988465,0.290373906,1,14,Low
14,Circle,10,3.707750277,2.770463178,6,250,Low
14,Circle,11,4.032278912,3.139921969,7,122,Low
14,Circle,12,3.470119522,2.813412351,7,139,Low
14,Circle,13,4.495804485,1.340151456,3,63,Low
14,Circle,14,4.401293876,2.842294623,7,238,Low
14,Circle,15,2.688925999,2.671721974,6,223,Low
14,Tube,1,4.417275703,4.649595687,5,98,Low
14,Tube,2,3.071301965,4.170445956,5,94,Low
14,Tube,3,6.161211948,4.342973744,6,107,Low
14,Tube,4,2.922597378,4.141698502,5,77,Low
14,Tube,5,7.093548911,2.57503659,7,135,Low
14,Tube,6,3.894194041,4.505347594,5,82,Low
14,Tube,7,1.110482655,1.948214555,2,49,Low
14,Tube,12,7.058359621,2.222003155,7,142,Low
14,Tube,14,7.115808824,1.924632353,7,142,Low
15,Circle,1,4.00621118,1.36257764,3,63,Low
15,Circle,2,4.215456674,1.276346604,3,52,Low
