"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
12,"Tube",3,4.470198675,1.794210817,8,98,"A,F,4,23","A","F",4,23
12,"Tube",5,3.682142594,0.776836772,1,11,"A,M,1,1","A","M",1,1
12,"Tube",5,3.662490789,1.378653279,1,17,"A,M,2,2","A","M",2,2
12,"Tube",5,3.318594326,1.747113117,1,22,"A,F,1,3","A","F",1,3
12,"Tube",5,2.485261606,1.674649963,2,27,"A,M,3,4","A","M",3,4
12,"Tube",5,2.278924097,1.549373618,2,29,"A,M,4,5","A","M",4,5
12,"Tube",5,2.094694178,1.748341931,2,30,"A,M,5,6","A","M",5,6
12,"Tube",5,2.005650332,1.556129329,2,32,"A,M,6,7","A","M",6,7
12,"Tube",5,1.642102063,1.887743183,3,37,"A,M,7,8","A","M",7,8
12,"Tube",5,1.433308769,1.946696758,3,38,"A,F,2,9","A","F",2,9
12,"Tube",5,1.421026161,2.516580693,3,39,"A,F,3,10","A","F",3,10
12,"Tube",5,1.548760133,2.256203021,3,42,"A,F,4,11","A","F",4,11
12,"Tube",5,1.531564112,2.663964628,3,46,"A,M,8,12","A","M",8,12
12,"Tube",5,1.656840457,3.160156595,4,49,"A,M,9,13","A","M",9,13
12,"Tube",5,1.62736367,3.280521371,4,50,"A,M,10,14","A","M",10,14
12,"Tube",5,1.696144068,3.440186072,4,51,"A,M,11,15","A","M",11,15
12,"Tube",5,1.784574429,3.133137436,4,54,"A,M,12,16","A","M",12,16
12,"Tube",5,2.6958972,3.422991894,4,59,"A,F,5,16","A","F",5,16
12,"Tube",5,3.266396463,3.253500368,5,67,"A,M,13,17","A","M",13,17
12,"Tube",5,4.003316139,3.131908622,5,71,"A,M,14,18","A","M",14,18
12,"Tube",5,4.20412675,3.406411201,5,73,"A,F,5,19","A","F",5,19
12,"Tube",5,4.745762712,3.246131172,6,75,"A,M,15,20","A","M",15,20
12,"Tube",5,4.913411938,3.161385409,6,76,"A,M,16,21","A","M",16,21
