"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Sex","Ratio","Corner"
12,"Tube",8,4.325694966,3.18933133,5,0.604042275071638,"Low","M",0.833333333333333,"N"
12,"Tube",8,4.145379414,3.155522164,5,0.587911007071124,"Low","M",0.833333333333333,"N"
12,"Tube",8,4.483471074,3.266341097,5,0.618553946285463,"Low","M",0.833333333333333,"N"
12,"Tube",8,4.622464313,3.347107438,6,0.631576639526854,"Low","M",0.833333333333333,"Y"
12,"Tube",8,4.911720511,3.178061608,6,0.655712507118932,"Low","F",0.833333333333333,"Y"
12,"Tube",8,6.157024793,3.260706236,6,0.766147062140376,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.072501878,2.806160781,7,0.774208770089036,"Low","F",0.833333333333333,"Y"
12,"Tube",8,6.339218633,2.723516153,7,0.797543128535865,"Low","F",0.833333333333333,"Y"
12,"Tube",8,6.239669421,2.511269722,7,0.803517238437664,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.228399699,2.227648385,7,0.824296775722333,"Low","?",0.833333333333333,"Y"
12,"Tube",8,6.164537941,1.863260706,7,0.852403805888456,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.059353869,1.897069872,7,0.84726656004166,"Low","M",0.833333333333333,"Y"
12,"Tube",8,5.929752066,1.769346356,7,0.856845973235561,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.006761833,1.681066867,7,0.865346538821887,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.068745304,1.669797145,7,0.867176438721656,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.188955672,1.718632607,7,0.86530755272703,"Low","M",0.833333333333333,"Y"
12,"Tube",8,6.337340346,1.536438768,7,0.884589433332979,"Low","M",0.833333333333333,"Y"
12,"Tube",8,5.546581518,1.474455297,8,0.892227353521437,"Low","F",0.833333333333333,"N"
12,"Tube",8,4.83095417,1.489481593,8,0.944729712084726,"Low","M",0.833333333333333,"N"
12,"Tube",8,4.370773854,1.645379414,8,0.981239268777616,"Low","M",0.833333333333333,"N"
12,"Tube",9,3.14875731,1.763523392,2,0.164599621812856,"Low","M",0.833333333333333,"N"
12,"Tube",9,2.775950292,1.449195906,2,0.176556412162388,"Low","M",0.833333333333333,"N"
12,"Tube",9,2.543859649,1.631335892,2,0.20048997724474,"Low","M",0.833333333333333,"N"
12,"Tube",9,2.135721857,1.705652412,2,0.236927241102,"Low","M",0.833333333333333,"N"
12,"Tube",9,2.009014985,1.502192982,2,0.244439975673838,"Low","M",0.833333333333333,"N"
12,"Tube",9,1.614278143,1.660575658,3,0.281034794006067,"Low","M",0.833333333333333,"Y"
12,"Tube",9,1.775096857,1.689815424,3,0.267561475570341,"Low","M",0.833333333333333,"Y"
12,"Tube",9,1.49122807,1.987085161,3,0.299646979579558,"Low","M",0.833333333333333,"Y"
12,"Tube",9,1.695906433,2.411061769,3,0.323392833282057,"Low","M",0.833333333333333,"Y"
12,"Tube",9,1.733675073,2.670564693,3,0.346056251045042,"Low","M",0.833333333333333,"Y"
12,"Tube",9,3.076876827,3.15911367,5,0.49380416360091,"Low","F",0.833333333333333,"N"
12,"Tube",9,3.149976243,3.402777778,5,0.504610686500161,"Low","F",0.833333333333333,"N"
12,"Tube",9,4.449318348,3.435672515,5,0.617533223881616,"Low","M",0.833333333333333,"N"
12,"Tube",9,4.356725146,3.205409357,5,0.606892526969065,"Low","M",0.833333333333333,"N"
12,"Tube",9,5.404482822,3.333333333,6,0.700243514929363,"Low","F",0.833333333333333,"Y"
12,"Tube",9,5.910696272,3.206017909,6,0.744111622030257,"Low","M",0.833333333333333,"Y"
12,"Tube",9,6.013035453,3.098806652,6,0.752796992809532,"Low","M",0.833333333333333,"Y"
12,"Tube",9,6.065423977,2.72721674,7,0.77896667761608,"Low","M",0.833333333333333,"Y"
12,"Tube",9,5.958210892,2.057139985,7,0.831792984892843,"Low","F",0.833333333333333,"Y"
12,"Tube",9,6.215277778,1.923123173,7,0.848721025488035,"Low","M",0.833333333333333,"Y"
12,"Tube",9,6.077607822,1.627070541,7,0.87103618449488,"Low","M",0.833333333333333,"Y"
12,"Tube",9,5.970394737,1.628289474,7,0.869606848111326,"Low","M",0.833333333333333,"Y"
12,"Tube",9,5.810794956,1.508894371,7,0.87951969078362,"Low","M",0.833333333333333,"Y"
12,"Tube",9,5.907041301,1.507675439,7,0.87981398455294,"Low","M",0.833333333333333,"Y"
12,"Tube",9,5.280824196,1.650219298,8,0.902457155744549,"Low","M",0.833333333333333,"N"
12,"Tube",9,5.107821637,1.630725512,8,0.917555919501479,"Low","M",0.833333333333333,"N"
12,"Tube",9,5.081017909,1.736719664,8,0.917876871405125,"Low","M",0.833333333333333,"N"
12,"Tube",9,5.145590278,1.46747076,8,0.920060026711459,"Low","M",0.833333333333333,"N"
12,"Tube",9,4.574195906,1.617324561,8,0.96384262024956,"Low","M",0.833333333333333,"N"
12,"Tube",9,4.464546784,1.67093019,8,0.972717954549545,"Low","M",0.833333333333333,"N"
12,"Tube",10,2.674475642,1.746621421,2,0.194097233845676,"Low","M",0.9,"N"
12,"Tube",10,2.756290443,1.5681164,2,0.180897175033596,"Low","M",0.9,"N"
12,"Tube",10,2.637287096,1.47886389,2,0.189094108725344,"Low","M",0.9,"N"
12,"Tube",10,2.386885459,1.671625139,2,0.214795016161278,"Low","M",0.9,"N"
12,"Tube",10,2.317465601,1.524111194,2,0.217664475522603,"Low","M",0.9,"N"
12,"Tube",10,1.962936036,1.520392339,2,0.248677080473858,"Low","M",0.9,"N"
12,"Tube",10,1.646833395,1.59600781,3,0.277286250762681,"Low","M",0.9,"Y"
12,"Tube",10,1.504276683,1.956117516,3,0.297369121580396,"Low","M",0.9,"Y"
12,"Tube",10,1.729267386,2.114168836,3,0.296956583218197,"Low","M",0.9,"Y"
12,"Tube",10,1.413164745,2.984380811,4,0.378388074943239,"Low","M",0.9,"Y"
12,"Tube",10,1.57493492,2.861658609,3,0.364432601247163,"Low","M",0.9,"Y"
12,"Tube",10,1.736705095,2.876534028,3,0.364265826339925,"Low","F",0.9,"Y"
12,"Tube",10,2.639146523,3.160407215,4,0.455555004858991,"Low","M",0.9,"Y"
12,"Tube",10,2.820132019,3.237262923,4,0.47263665249992,"Low","M",0.9,"Y"
12,"Tube",10,2.941613983,3.373620305,4,0.486235145148645,"Low","F",0.9,"Y"
12,"Tube",10,3.068055039,3.326515433,5,0.495824230267197,"Low","M",0.9,"N"
12,"Tube",10,3.231684641,3.23912235,5,0.508394285403736,"Low","M",0.9,"N"
12,"Tube",10,3.393454816,3.213090368,5,0.522201443320732,"Low","M",0.9,"N"
12,"Tube",10,3.774637412,3.402751952,5,0.558286077894982,"Low","M",0.9,"N"
12,"Tube",10,4.303333953,3.206271848,5,0.602190773626041,"Low","M",0.9,"N"
12,"Tube",10,3.901697657,3.407089996,5,0.569387636160981,"Low","M",0.9,"N"
12,"Tube",10,4.660343994,3.362463741,6,0.635072249987246,"Low","F",0.9,"Y"
12,"Tube",10,4.849386389,3.188917813,6,0.65026613980422,"Low","M",0.9,"Y"
12,"Tube",10,6.105740052,2.458782075,7,0.801153751087327,"Low","M",0.9,"Y"
12,"Tube",10,6.161522871,2.213337672,7,0.823011974883821,"Low","M",0.9,"Y"
12,"Tube",10,6.05243585,2.13896058,7,0.826259591994388,"Low","M",0.9,"Y"
12,"Tube",10,5.840461138,1.775753068,7,0.8559077302799,"Low","M",0.9,"Y"
12,"Tube",10,5.973099665,1.56129974,7,0.875528500319142,"Low","M",0.9,"Y"
12,"Tube",10,5.742530681,1.453452956,7,0.884611142001467,"Low","M",0.9,"Y"
12,"Tube",11,3.021776813,1.613797205,2,0.161883961615025,"Low","M",0.92,"N"
12,"Tube",11,2.697003399,1.590507931,2,0.18650398938604,"Low","M",0.92,"N"
12,"Tube",11,2.455311556,1.679884819,2,0.209305095999083,"Low","M",0.92,"N"
12,"Tube",11,2.076410498,1.518126888,2,0.238689759072187,"Low","M",0.92,"N"
12,"Tube",11,2.043680136,1.385951662,2,0.240656289064178,"Low","M",0.92,"N"
12,"Tube",11,1.694990559,1.560927115,3,0.272648262384343,"Low","M",0.92,"Y"
12,"Tube",11,1.547709592,2.561682402,3,0.339140324851351,"Low","M",0.92,"Y"
12,"Tube",11,1.990810045,3.184794184,4,0.403031394214581,"Low","M",0.92,"Y"
12,"Tube",11,1.672331949,3.3081571,4,0.402676604072796,"Low","M",0.92,"Y"
12,"Tube",11,2.609516616,3.160247356,4,0.452979302550436,"Low","M",0.92,"Y"
12,"Tube",11,2.900302115,3.347809668,4,0.482058647770902,"Low","M",0.92,"Y"
12,"Tube",11,4.177996601,3.136329305,5,0.590682228575638,"Low","M",0.92,"N"
12,"Tube",11,4.27366503,3.335220921,5,0.600835223556057,"Low","M",0.92,"N"
12,"Tube",11,4.45367636,3.131293429,5,0.615013787674325,"Low","M",0.92,"N"
12,"Tube",11,4.361782477,3.150175604,5,0.60698932903373,"Low","M",0.92,"N"
12,"Tube",11,5.850641994,3.13255287,6,0.738522488491793,"Low","M",0.92,"Y"
12,"Tube",11,6.093277946,3.183534743,6,0.760154000345206,"Low","M",0.92,"Y"
12,"Tube",11,6.102719033,2.641616314,7,0.787024553752643,"Low","M",0.92,"Y"
12,"Tube",11,5.770392749,2.284743202,7,0.811038112328137,"Low","M",0.92,"Y"
12,"Tube",11,5.777001511,1.53228852,7,0.877512283228547,"Low","F",0.92,"Y"
12,"Tube",11,5.553247734,1.435045317,8,0.894728655832914,"Low","F",0.92,"N"
12,"Tube",11,5.302114804,1.6918429,8,0.899536508699973,"Low","M",0.92,"N"
12,"Tube",11,5.052870091,1.567220544,8,0.923923128155533,"Low","M",0.92,"N"
12,"Tube",11,4.599697885,1.497356495,8,0.964028680527561,"Low","M",0.92,"N"
12,"Tube",11,4.662009063,1.66163142,8,0.955529400755392,"Low","M",0.92,"N"
12,"Tube",12,2.908763278,1.448216995,2,0.164993176953733,"Low","M",0.958333333333333,"N"
12,"Tube",12,2.770295903,1.510811836,2,0.178206335185242,"Low","M",0.958333333333333,"N"
12,"Tube",12,2.341616085,1.597116844,2,0.216854637107672,"Low","M",0.958333333333333,"N"
12,"Tube",12,2.276176024,1.725151745,2,0.225588489066652,"Low","M",0.958333333333333,"N"
12,"Tube",12,1.727996965,1.690060698,3,0.271644507715211,"Low","M",0.958333333333333,"Y"
12,"Tube",12,1.460546282,2.099772382,3,0.30765399100988,"Low","M",0.958333333333333,"Y"
12,"Tube",12,1.663505311,3.019726859,4,0.377276536192711,"Low","M",0.958333333333333,"Y"
12,"Tube",12,1.789643399,3.340288316,4,0.407545432190037,"Low","M",0.958333333333333,"Y"
12,"Tube",12,1.919575114,3.216047041,4,0.400816078253631,"Low","M",0.958333333333333,"Y"
12,"Tube",12,1.783952959,3.106980273,4,0.386977357234341,"Low","M",0.958333333333333,"Y"
12,"Tube",12,2.336874052,3.247344461,4,0.432195594096104,"Low","M",0.958333333333333,"Y"
12,"Tube",12,2.368171472,3.386760243,4,0.440555776041823,"Low","M",0.958333333333333,"Y"
12,"Tube",12,2.763657056,3.383915023,4,0.471708412385984,"Low","M",0.958333333333333,"Y"
12,"Tube",12,3.885622155,3.292867982,5,0.566309474892331,"Low","M",0.958333333333333,"N"
12,"Tube",12,4.146433991,3.070940819,5,0.587622810579284,"Low","M",0.958333333333333,"N"
12,"Tube",12,5.188732929,3.266312595,6,0.680709652485099,"Low","M",0.958333333333333,"Y"
12,"Tube",12,5.548179059,3.353566009,6,0.713071046799833,"Low","M",0.958333333333333,"Y"
12,"Tube",12,5.96452959,3.158194234,6,0.748677293132088,"Low","M",0.958333333333333,"Y"
12,"Tube",12,6.020485584,2.956183612,6,0.753349737874043,"Low","M",0.958333333333333,"Y"
