Colony,Nest,Day,ScaledX,ScaledY,SexID
12,Tube,9,2.775950292,1.449195906,"A,M,3,3"
12,Tube,9,2.543859649,1.631335892,"A,M,4,4"
12,Tube,9,2.135721857,1.705652412,"A,M,5,5"
12,Tube,9,2.009014985,1.502192982,"A,M,5,5"
12,Tube,9,1.614278143,1.660575658,"A,M,6,6"
12,Tube,9,1.775096857,1.689815424,"A,M,7,7"
12,Tube,9,1.49122807,1.987085161,"A,M,8,8"
12,Tube,9,1.695906433,2.411061769,"A,M,9,9"
12,Tube,9,1.733675073,2.670564693,"A,M,10,10"
12,Tube,9,3.076876827,3.15911367,"A,F,1,11"
12,Tube,9,3.149976243,3.402777778,"A,F,2,12"
12,Tube,9,4.449318348,3.435672515,"A,M,11,13"
12,Tube,9,4.356725146,3.205409357,"A,M,12,14"
12,Tube,9,5.404482822,3.333333333,"A,F,3,15"
12,Tube,9,5.910696272,3.206017909,"A,M,13,16"
12,Tube,9,6.013035453,3.098806652,"A,M,14,17"
12,Tube,9,6.065423977,2.72721674,"A,M,15,18"
12,Tube,9,5.958210892,2.057139985,"A,F,4,19"
12,Tube,9,6.215277778,1.923123173,"A,M,15,20"
12,Tube,9,6.077607822,1.627070541,"A,M,16,21"
12,Tube,9,5.970394737,1.628289474,"A,M,17,22"
12,Tube,9,5.810794956,1.508894371,"A,M,18,23"
12,Tube,9,5.907041301,1.507675439,"A,M,19,24"
12,Tube,9,5.280824196,1.650219298,"A,M,20,25"
12,Tube,9,5.107821637,1.630725512,"A,M,21,26"
12,Tube,9,5.081017909,1.736719664,"A,M,22,27"
12,Tube,9,5.145590278,1.46747076,"A,M,23,28"
12,Tube,9,4.574195906,1.617324561,"A,M,24,29"
12,Tube,9,4.464546784,1.67093019,"A,M,25,30"
12,Tube,10,3.653774637,0.974339903,"A,M,1,1"
12,Tube,10,2.674475642,1.746621421,"A,M,2,2"
12,Tube,10,2.756290443,1.5681164,"A,M,3,3"
12,Tube,10,2.637287096,1.47886389,"A,M,4,4"
12,Tube,10,2.386885459,1.671625139,"A,M,5,5"
12,Tube,10,2.317465601,1.524111194,"A,M,6,6"
12,Tube,10,1.962936036,1.520392339,"A,M,7,7"
12,Tube,10,1.646833395,1.59600781,"A,M,8,8"
12,Tube,10,1.504276683,1.956117516,"A,M,9,9"
12,Tube,10,1.729267386,2.114168836,"A,M,10,10"
12,Tube,10,1.413164745,2.984380811,"A,M,11,11"
12,Tube,10,1.57493492,2.861658609,"A,M,12,12"
12,Tube,10,1.736705095,2.876534028,"A,F,1,13"
12,Tube,10,2.639146523,3.160407215,"A,M,13,14"
12,Tube,10,2.820132019,3.237262923,"A,M,14,15"
12,Tube,10,2.941613983,3.373620305,"A,F,2,16"
12,Tube,10,3.068055039,3.326515433,"A,M,15,17"
12,Tube,10,3.231684641,3.23912235,"A,M,16,18"
12,Tube,10,3.393454816,3.213090368,"A,M,17,19"
12,Tube,10,3.774637412,3.402751952,"A,M,18,20"
12,Tube,10,4.303333953,3.206271848,"A,M,19,21"
12,Tube,10,3.901697657,3.407089996,"A,M,20,22"
12,Tube,10,4.660343994,3.362463741,"A,F,3,23"
12,Tube,10,4.849386389,3.188917813,"A,M,21,24"
12,Tube,10,6.105740052,2.458782075,"A,M,22,25"
12,Tube,10,6.161522871,2.213337672,"A,M,23,26"
12,Tube,10,6.05243585,2.13896058,"A,M,24,27"
12,Tube,10,5.840461138,1.775753068,"A,M,25,28"
12,Tube,10,5.973099665,1.56129974,"A,M,26,29"
12,Tube,10,5.742530681,1.453452956,"A,M,27,30"
12,Tube,11,3.021776813,1.613797205,"A,M,1,1"
12,Tube,11,2.697003399,1.590507931,"A,M,2,2"
12,Tube,11,2.455311556,1.679884819,"A,M,3,3"
12,Tube,11,2.076410498,1.518126888,"A,M,4,4"
12,Tube,11,2.043680136,1.385951662,"A,M,5,5"
12,Tube,11,1.694990559,1.560927115,"A,M,6,6"
12,Tube,11,1.547709592,2.561682402,"A,M,7,7"
12,Tube,11,1.990810045,3.184794184,"A,M,8,8"
12,Tube,11,1.672331949,3.3081571,"A,M,9,9"
12,Tube,11,2.609516616,3.160247356,"A,M,10,10"
12,Tube,11,2.900302115,3.347809668,"A,M,11,11"
12,Tube,11,4.177996601,3.136329305,"A,M,12,12"
12,Tube,11,4.27366503,3.335220921,"A,M,13,13"
12,Tube,11,4.45367636,3.131293429,"A,M,14,14"
12,Tube,11,4.361782477,3.150175604,"A,M,15,15"
12,Tube,11,5.850641994,3.13255287,"A,M,16,16"
12,Tube,11,6.093277946,3.183534743,"A,M,17,17"
12,Tube,11,6.102719033,2.641616314,"A,M,18,18"
12,Tube,11,5.770392749,2.284743202,"A,M,19,19"
12,Tube,11,5.777001511,1.53228852,"A,F,1,20"
12,Tube,11,5.553247734,1.435045317,"A,F,2,21"
12,Tube,11,5.302114804,1.6918429,"A,M,20,22"
12,Tube,11,5.052870091,1.567220544,"A,M,21,23"
12,Tube,11,4.599697885,1.497356495,"A,M,22,24"
12,Tube,11,4.662009063,1.66163142,"A,M,23,25"
12,Tube,12,3.600151745,1.060318665,"A,M,1,1"
12,Tube,12,3.73292868,1.445371775,"A,M,2,2"
12,Tube,12,2.908763278,1.448216995,"A,M,3,3"
12,Tube,12,2.770295903,1.510811836,"A,M,4,4"
12,Tube,12,2.341616085,1.597116844,"A,M,5,5"
12,Tube,12,2.276176024,1.725151745,"A,M,6,6"
12,Tube,12,1.727996965,1.690060698,"A,M,7,7"
12,Tube,12,1.460546282,2.099772382,"A,M,8,8"
12,Tube,12,1.663505311,3.019726859,"A,M,9,9"
12,Tube,12,1.789643399,3.340288316,"A,M,10,10"
12,Tube,12,1.919575114,3.216047041,"A,M,11,11"
12,Tube,12,1.783952959,3.106980273,"A,M,12,12"
12,Tube,12,2.336874052,3.247344461,"A,M,13,13"
12,Tube,12,2.368171472,3.386760243,"A,M,14,14"
12,Tube,12,2.763657056,3.383915023,"A,M,15,15"
12,Tube,12,3.885622155,3.292867982,"A,M,16,16"
12,Tube,12,4.146433991,3.070940819,"A,M,17,17"
12,Tube,12,5.188732929,3.266312595,"A,M,17,17"
12,Tube,12,5.548179059,3.353566009,"A,M,18,18"
12,Tube,12,5.96452959,3.158194234,"A,M,19,19"
12,Tube,12,6.020485584,2.956183612,"A,M,20,20"
12,Tube,12,6.195940819,2.009673748,"A,F,1,21"
12,Tube,12,5.483687405,1.559180577,"A,M,21,22"
12,Tube,12,5.032245827,1.488050076,"A,M,22,23"
12,Tube,12,4.36646434,1.759294385,"A,M,23,24"
12,Tube,13,3.557987711,1.340245776,"A,M,1,1"
12,Tube,13,3.387096774,1.355606759,"A,M,2,2"
12,Tube,13,3.429339478,1.576420891,"A,M,3,3"
12,Tube,13,3.579109063,1.651305684,"A,M,4,4"
12,Tube,13,3.137480799,1.647465438,"A,M,5,5"
12,Tube,13,1.98156682,1.572580645,"A,M,6,6"
12,Tube,13,1.816436252,1.480414747,"A,M,7,7"
12,Tube,13,1.572580645,1.927803379,"A,M,8,8"
12,Tube,13,1.68202765,1.987327189,"A,M,9,9"
12,Tube,13,1.587941628,2.052611367,"A,M,10,10"
12,Tube,13,1.499615975,2.15437788,"A,M,11,11"
12,Tube,13,1.538018433,2.302227343,"A,M,12,12"
12,Tube,13,1.386328725,2.329109063,"A,M,13,13"
12,Tube,13,1.505376344,2.724654378,"A,M,14,14"
12,Tube,13,2.046850998,3.076036866,"A,M,15,15"
12,Tube,13,4.212110215,3.24500768,"A,M,16,16"
12,Tube,13,4.331157834,3.325652842,"A,M,17,17"
12,Tube,13,5.584356759,3.200844854,"A,M,18,18"
12,Tube,13,5.699564132,3.144521889,"A,M,19,19"
12,Tube,13,5.865336022,1.865720046,"A,M,20,20"
12,Tube,13,5.569637097,1.787634409,"A,M,21,21"
12,Tube,13,5.536353687,1.571941244,"A,M,22,22"
12,Tube,13,4.737582565,1.596261521,"A,F,1,23"
12,Tube,13,4.873271889,1.557859063,"A,M,23,24"
12,Tube,13,4.453404378,1.545059524,"A,M,24,25"
12,Tube,13,4.745263057,1.451612903,"A,M,25,26"
12,Tube,14,3.514020537,1.096958926,"A,M,1,1"
12,Tube,14,3.500197472,1.208530806,"A,M,2,2"
12,Tube,14,3.635466035,1.30035545,"A,M,3,3"
12,Tube,14,3.64468207,1.493548578,"A,M,4,4"
12,Tube,14,3.638757899,1.702869273,"A,M,5,5"
12,Tube,14,3.763165482,1.355977488,"A,M,6,6"
12,Tube,14,3.334650474,1.587020142,"A,M,7,7"
12,Tube,14,3.151658768,1.652843602,"A,M,8,8"
12,Tube,14,2.929172591,1.580436414,"A,M,9,9"
12,Tube,14,2.698789494,1.66864139,"A,M,10,10"
12,Tube,14,2.173183254,1.480055292,"A,M,11,11"
12,Tube,14,1.984597156,1.638033175,"A,M,12,12"
12,Tube,14,1.801935229,1.484004739,"A,M,13,13"
12,Tube,14,1.749605055,1.714060032,"A,M,14,14"
12,Tube,14,1.69628752,1.956951027,"A,F,1,15"
12,Tube,14,1.547195893,1.928317536,"A,M,15,16"
12,Tube,14,1.636058452,3.178317536,"A,M,16,17"
12,Tube,14,1.57385466,3.284952607,"A,M,17,18"
12,Tube,14,3.137835703,3.162519747,"A,M,18,19"
12,Tube,14,3.56042654,3.089454976,"A,M,19,20"
12,Tube,14,4.079778831,3.275408768,"A,?,?,21"
12,Tube,14,5.253751975,3.248420221,"A,M,20,22"
12,Tube,14,5.687861374,3.268825039,"A,M,21,23"
12,Tube,14,5.685886651,3.206951027,"A,M,22,24"
12,Tube,14,5.957083333,2.792916667,"A,M,23,25"
12,Tube,14,6.066350711,2.419036335,"A,M,24,26"
12,Tube,14,5.41271722,1.71307267,"A,M,25,27"
12,Tube,14,4.803185229,1.610716825,"A,M,26,28"
13,Tube,9,5.094304734,1.792714497,"A,M,1,1"
13,Tube,10,4.343283582,0.949626866,"A,M,1,1"
13,Tube,11,4.467840735,0.939892802,"A,M,1,1"
13,Tube,12,4.083343326,0.991047662,"A,M,1,1"
13,Tube,13,4.873076923,1.157692308,"A,M,1,1"
13,Tube,14,4.382022472,1.059390048,"A,M,1,1"
14,Circle,3,3.110658771,0.605107328,"A,M,1,1"
14,Circle,3,3.134715026,1.008512213,"A,M,2,2"
14,Circle,3,3.941524796,1.197261288,"A,M,3,3"
14,Circle,3,3.810140637,1.249074759,"A,M,4,4"
14,Circle,3,3.83234641,1.472982976,"A,M,5,5"
14,Circle,3,2.773871207,1.252775722,"A,M,6,6"
14,Circle,3,4.793362324,1.815321984,"A,M,7,7"
14,Circle,3,4.729213546,1.637675796,"A,M,8,8"
14,Circle,3,4.748950777,1.553787935,"A,M,9,9"
14,Circle,3,4.418948927,1.236737602,"A,M,10,10"
14,Circle,3,4.935233161,0.988156921,"A,M,11,11"
14,Circle,3,4.979644708,1.624722428,"A,M,12,12"
14,Circle,3,5.242413027,1.746854182,"A,M,13,13"
14,Circle,3,5.253515914,1.883789785,"A,M,14,14"
14,Circle,3,4.798297557,2.309400444,"A,M,15,15"
14,Circle,3,3.586848631,2.103380829,"A,M,16,16"
14,Circle,3,3.636195411,2.235381199,"A,M,17,17"
14,Circle,3,3.641130644,2.348876758,"A,M,18,18"
14,Circle,3,3.247594375,2.620281273,"A,M,19,19"
14,Circle,3,3.197631384,2.048482605,"A,M,20,20"
14,Circle,3,2.07253886,2.340242413,"A,M,21,21"
14,Circle,3,2.684431902,1.183073649,"A,M,22,22"
14,Circle,3,3.036639526,2.794226499,"A,M,23,23"
14,Circle,3,2.124352332,2.636935603,"A,M,24,24"
14,Circle,3,3.870590303,3.209350481,"A,M,25,25"
14,Circle,3,4.039600296,2.706637676,"A,M,26,26"
14,Circle,3,4.198741673,2.754750185,"A,M,27,27"
14,Circle,3,4.081545152,2.579570688,"A,M,28,28"
14,Circle,3,4.16173205,2.97742413,"A,M,29,29"
14,Circle,5,4.192739136,0.736372956,"A,M,1,1"
