"Colony","Nest","Day","ScaledX","ScaledY","Density"
11,"Tube",3,3.022916667,3.808333333,"Low"
11,"Tube",3,3.045833333,3.822916667,"Low"
11,"Tube",3,3.016666667,3.827083333,"Low"
11,"Tube",3,3.122916667,3.9125,"Low"
11,"Tube",3,2.954166667,3.71875,"Low"
11,"Tube",3,3.177083333,3.789583333,"Low"
11,"Tube",3,3.272916667,3.789583333,"Low"
11,"Tube",3,3.291666667,3.952083333,"Low"
11,"Tube",3,3.370833333,3.758333333,"Low"
11,"Tube",3,3.502083333,3.75625,"Low"
11,"Tube",3,3.425,3.841666667,"Low"
11,"Tube",3,3.477083333,3.883333333,"Low"
11,"Tube",3,3.395833333,3.902083333,"Low"
11,"Tube",3,3.40625,3.93125,"Low"
11,"Tube",3,3.541666667,3.6375,"Low"
11,"Tube",3,3.6375,3.714583333,"Low"
11,"Tube",3,3.597916667,3.797916667,"Low"
11,"Tube",3,3.66875,3.833333333,"Low"
11,"Tube",3,3.691666667,3.975,"Low"
11,"Tube",3,3.810416667,3.75,"Low"
11,"Tube",3,3.927083333,3.733333333,"Low"
11,"Tube",3,3.954166667,3.864583333,"Low"
11,"Tube",3,3.810416667,3.991666667,"Low"
11,"Tube",3,3.904166667,3.95625,"Low"
11,"Tube",3,4.00625,3.870833333,"Low"
11,"Tube",3,4.027083333,3.722916667,"Low"
11,"Tube",3,4.085416667,3.875,"Low"
11,"Tube",3,4.154166667,3.79375,"Low"
11,"Tube",3,3.745833333,3.829166667,"Low"
11,"Tube",3,4.177083333,3.941666667,"Low"
11,"Tube",3,4.241666667,3.80625,"Low"
11,"Tube",3,4.295833333,3.754166667,"Low"
11,"Tube",3,4.210416667,3.754166667,"Low"
11,"Tube",3,4.277083333,3.895833333,"Low"
11,"Tube",3,4.389583333,3.754166667,"Low"
11,"Tube",3,4.427083333,3.96875,"Low"
11,"Tube",3,4.40625,3.816666667,"Low"
11,"Tube",3,5.010416667,3.979166667,"Low"
11,"Tube",3,4.745833333,3.945833333,"Low"
11,"Tube",3,4.645833333,3.991666667,"Low"
11,"Tube",3,4.560416667,3.916666667,"Low"
11,"Tube",3,4.7,3.85625,"Low"
11,"Tube",3,4.620833333,3.8,"Low"
11,"Tube",3,4.64375,3.83125,"Low"
11,"Tube",3,4.779166667,3.7875,"Low"
11,"Tube",3,4.766666667,3.875,"Low"
11,"Tube",3,4.839583333,3.883333333,"Low"
11,"Tube",3,4.770833333,3.679166667,"Low"
11,"Tube",3,4.889583333,3.785416667,"Low"
11,"Tube",3,5.016666667,3.833333333,"Low"
11,"Tube",3,5.09375,3.754166667,"Low"
11,"Tube",3,5.01875,3.752083333,"Low"
11,"Tube",3,5.160416667,3.935416667,"Low"
11,"Tube",3,5.304166667,3.745833333,"Low"
11,"Tube",3,5.3125,3.764583333,"Low"
11,"Tube",3,5.279166667,3.710416667,"Low"
11,"Tube",3,5.183333333,3.70625,"Low"
11,"Tube",3,5.227083333,3.85625,"Low"
11,"Tube",3,5.34375,3.910416667,"Low"
11,"Tube",3,5.314583333,3.922916667,"Low"
11,"Tube",3,5.470833333,3.733333333,"Low"
11,"Tube",3,5.366666667,3.6625,"Low"
11,"Tube",3,5.50625,3.8375,"Low"
11,"Tube",3,5.564583333,3.952083333,"Low"
11,"Tube",3,5.583333333,3.795833333,"Low"
11,"Tube",3,5.6,3.84375,"Low"
11,"Tube",3,5.633333333,3.94375,"Low"
11,"Tube",3,5.689583333,3.872916667,"Low"
11,"Tube",3,5.658333333,3.747916667,"Low"
11,"Tube",3,5.758333333,3.75,"Low"
11,"Tube",3,5.735416667,3.802083333,"Low"
11,"Tube",3,5.789583333,3.847916667,"Low"
11,"Tube",3,5.733333333,3.99375,"Low"
11,"Tube",3,5.84375,3.966666667,"Low"
11,"Tube",3,5.933333333,3.827083333,"Low"
11,"Tube",3,5.95625,3.877083333,"Low"
11,"Tube",3,5.872916667,3.752083333,"Low"
11,"Tube",3,5.98125,3.7125,"Low"
11,"Tube",3,6.122916667,3.775,"Low"
11,"Tube",3,6.054166667,4.066666667,"Low"
11,"Tube",3,6.102083333,3.935416667,"Low"
11,"Tube",3,6.25625,3.810416667,"Low"
11,"Tube",3,6.31875,3.872916667,"Low"
11,"Tube",3,6.4875,3.904166667,"Low"
11,"Tube",3,6.533333333,3.91875,"Low"
11,"Tube",3,6.6125,3.74375,"Low"
11,"Tube",3,6.4375,3.739583333,"Low"
11,"Tube",3,6.602083333,3.620833333,"Low"
11,"Tube",3,6.285416667,3.710416667,"Low"
11,"Tube",3,6.347916667,3.61875,"Low"
11,"Tube",3,6.504166667,3.570833333,"Low"
11,"Tube",3,6.4375,3.5875,"Low"
11,"Tube",3,6.5,3.497916667,"Low"
11,"Tube",3,6.441666667,3.435416667,"Low"
11,"Tube",3,6.35,3.385416667,"Low"
11,"Tube",3,6.585416667,3.36875,"Low"
11,"Tube",3,6.408333333,3.26875,"Low"
11,"Tube",3,6.5375,3.229166667,"Low"
11,"Tube",3,6.383333333,3.054166667,"Low"
11,"Tube",3,6.34375,3.041666667,"Low"
11,"Tube",3,6.43125,3.19375,"Low"
11,"Tube",3,6.625,3.122916667,"Low"
11,"Tube",3,6.597916667,3.03125,"Low"
11,"Tube",3,6.502083333,2.904166667,"Low"
11,"Tube",3,6.5125,2.979166667,"Low"
11,"Tube",3,6.5625,2.96875,"Low"
11,"Tube",3,6.525,3.029166667,"Low"
11,"Tube",3,6.347916667,2.85625,"Low"
11,"Tube",3,6.4,2.822916667,"Low"
11,"Tube",3,6.385416667,2.84375,"Low"
11,"Tube",3,6.404166667,2.85625,"Low"
11,"Tube",3,6.4125,2.860416667,"Low"
11,"Tube",3,6.591666667,2.670833333,"Low"
11,"Tube",3,6.597916667,2.714583333,"Low"
11,"Tube",3,6.545833333,2.679166667,"Low"
11,"Tube",3,6.560416667,2.702083333,"Low"
11,"Tube",3,6.527083333,2.708333333,"Low"
11,"Tube",3,6.558333333,2.764583333,"Low"
11,"Tube",3,6.466666667,2.525,"Low"
11,"Tube",3,6.516666667,2.5625,"Low"
11,"Tube",3,6.45,2.575,"Low"
11,"Tube",3,6.4,2.65625,"Low"
11,"Tube",3,6.31875,2.670833333,"Low"
11,"Tube",3,6.3375,2.747916667,"Low"
