Colony,Nest,CoordID,ScaledX,ScaledY
7,Circle,4,4.915919283,0.773542601
7,Circle,5,4.983183857,0.986547085
7,Circle,6,5.005605381,1.210762332
7,Circle,7,4.983183857,1.423766816
7,Circle,8,4.915919283,1.653587444
7,Circle,9,4.792600897,1.900224215
8,Tube,3,3.897180763,-0.016583748
8,Tube,4,3.5986733,0.928689884
8,Tube,5,3.126036484,0.56384743
8,Tube,6,2.728026534,1.218905473
8,Tube,7,3.499170813,1.641791045
8,Tube,8,4.12106136,1.625207297
8,Tube,9,4.91708126,1.252072968
8,Tube,10,4.527363184,0.489220564
8,Tube,11,3.922056385,0.936981758
8,Circle,3,4.18301569,0.350136665
8,Circle,4,4.26310014,0.489818845
8,Circle,5,4.304073579,0.612739164
8,Circle,6,4.315248154,0.733797053
8,Circle,7,4.305936008,0.854854943
8,Circle,8,4.268687427,0.98150012
8,Circle,9,4.179290832,1.123044729
9,Tube,3,3.895131086,0.194756554
9,Tube,4,3.34082397,1.647940075
9,Tube,5,2.134831461,1.116104869
9,Tube,6,1.602996255,2.524344569
9,Tube,7,3.063670412,2.996254682
9,Tube,8,4.397003745,2.996254682
9,Tube,9,5.880149813,2.494382022
9,Tube,10,5.393258427,1.078651685
9,Tube,11,4.037453184,1.647940075
9,Circle,3,4.553571429,0.543154762
9,Circle,4,4.694940476,0.79985119
9,Circle,5,4.765625,1.023065476
9,Circle,6,4.799107143,1.246279762
9,Circle,7,4.773065476,1.462053571
9,Circle,8,4.698660714,1.685267857
9,Circle,9,4.54985119,1.941964286
10,Tube,3,3.881278539,0.216894977
10,Tube,4,3.321917808,1.837899543
10,Tube,5,1.883561644,1.210045662
10,Tube,6,1.347031963,2.899543379
10,Tube,7,3.01369863,3.424657534
10,Tube,8,4.543378995,3.424657534
10,Tube,9,6.210045662,2.865296804
10,Tube,10,5.707762557,1.164383562
10,Tube,11,4.121004566,1.826484018
10,Circle,3,4.65942029,0.673913043
10,Circle,4,4.847826087,0.985507246
10,Circle,5,4.942028986,1.253623188
10,Circle,6,4.956521739,1.52173913
10,Circle,7,4.920289855,1.775362319
10,Circle,8,4.847826087,2.050724638
10,Circle,9,4.666666667,2.347826087
11,Tube,1,3.908872902,0.251798561
11,Tube,2,3.273381295,2.350119904
11,Tube,3,1.366906475,1.510791367
11,Tube,4,0.695443645,3.585131894
11,Tube,5,2.78177458,4.28057554
11,Tube,6,4.700239808,4.256594724
11,Tube,7,6.822541966,3.585131894
11,Tube,8,6.139088729,1.498800959
11,Tube,9,4.052757794,2.314148681
12,Tube,1,3.963553531,0.148063781
12,Tube,2,3.268792711,2.01594533
12,Tube,3,1.837509491,1.203492787
12,Tube,4,1.036446469,2.938496583
12,Tube,5,2.949886105,3.724373576
12,Tube,6,4.589977221,3.735763098
12,Tube,7,6.435079727,2.938496583
12,Tube,8,5.675778284,1.127562642
12,Tube,9,4.020501139,1.936218679
13,Tube,1,3.847316704,0.170068027
13,Tube,2,3.454270597,1.26606198
13,Tube,3,2.592592593,0.714285714
13,Tube,4,2.199546485,1.734693878
13,Tube,5,3.235071807,2.226001512
13,Tube,6,4.187452759,2.218442933
13,Tube,7,5.272108844,1.746031746
13,Tube,8,4.85260771,0.691609977
13,Tube,9,3.866213152,1.167800454
14,Tube,1,4.038461538,0.172064777
14,Tube,2,3.299595142,2.641700405
14,Tube,3,1.093117409,1.548582996
14,Tube,4,0.313765182,3.987854251
14,Tube,5,2.712550607,4.83805668
14,Tube,6,4.929149798,4.868421053
14,Tube,7,7.398785425,3.947368421
14,Tube,8,6.619433198,1.599190283
14,Tube,9,4.210526316,2.5
15,Tube,1,4.031180401,0.122494432
15,Tube,2,3.184855234,2.483296214
15,Tube,3,1.291759465,1.614699332
15,Tube,4,0.289532294,3.68596882
15,Tube,5,2.728285078,4.643652561
15,Tube,6,4.799554566,4.632516704
15,Tube,7,7.23830735,3.775055679
15,Tube,8,6.258351893,1.547884187
15,Tube,9,4.031180401,2.416481069
16,Tube,1,3.75,-0.015782828
16,Tube,2,3.481691919,0.798611111
16,Tube,3,2.935606061,0.45770202
16,Tube,4,2.638888889,1.148989899
16,Tube,5,3.336489899,1.464646465
16,Tube,6,3.986742424,1.474116162
16,Tube,7,4.734848485,1.167929293
16,Tube,8,4.46969697,0.432449495
16,Tube,9,3.791035354,0.798611111
17,Tube,1,4.0625,0.011160714
17,Tube,2,3.292410714,2.65625
17,Tube,3,1.127232143,1.752232143
17,Tube,4,0.323660714,4.118303571
17,Tube,5,2.734375,4.933035714
17,Tube,6,5,4.933035714
17,Tube,7,7.399553571,4.207589286
17,Tube,8,6.5625,1.662946429
17,Tube,9,4.21875,2.645089286
18,Tube,1,3.88172043,0
18,Tube,2,3.48566129,1.157704301
18,Tube,3,2.715053763,0.623655914
18,Tube,4,2.252688172,1.569892473
18,Tube,5,3.317204301,2.075268817
18,Tube,6,4.209677419,2.086021505
18,Tube,7,5.241935484,1.623655914
18,Tube,8,4.844086022,0.602150538
18,Tube,9,3.897849462,1.107526882
19,Tube,1,4.023136247,-0.025706941
19,Tube,2,3.395456298,1.988001285
19,Tube,3,1.915167095,1.105398458
19,Tube,4,0.989717224,2.917737789
19,Tube,5,3.033419023,3.701799486
19,Tube,6,4.70437018,3.740359897
19,Tube,7,6.658097686,2.94344473
19,Tube,8,5.829048843,1.131105398
19,Tube,9,4.110970437,1.923733933
20,Tube,1,4.08993576,0.032119914
20,Tube,2,3.394004283,2.194860814
20,Tube,3,1.64882227,1.284796574
20,Tube,4,0.856531049,3.319057816
20,Tube,5,2.944325482,4.068522484
20,Tube,6,4.796573876,4.057815846
20,Tube,7,6.87366167,3.35117773
20,Tube,8,6.167023555,1.349036403
20,Tube,9,4.229122056,2.173447537
11,Circle,3,4.973484848,0.763890152
11,Circle,4,5.200757576,1.137625
11,Circle,5,5.291666667,1.476011364
11,Circle,6,5.342170455,1.799242424
11,Circle,7,5.352272727,2.117424242
11,Circle,8,5.286617424,2.455806818
11,Circle,9,5.039140152,2.824496212
12,Circle,3,4.889135255,0.66518847
12,Circle,4,5.055432373,0.975609756
12,Circle,5,5.144124169,1.258314856
12,Circle,6,5.166297118,1.529933481
12,Circle,7,5.149667406,1.807095344
12,Circle,8,5.072062084,2.084257206
12,Circle,9,4.933481153,2.400221729
13,Circle,3,4.278501082,0.505048701
13,Circle,4,4.404761905,0.689031385
13,Circle,5,4.462483766,0.840546537
13,Circle,6,4.462483766,0.992061688
13,Circle,7,4.444442641,1.14357684
13,Circle,8,4.401152597,1.298701299
13,Circle,9,4.296536797,1.479074675
14,Circle,3,5.249433107,0.831443689
14,Circle,4,5.52154195,1.26984127
14,Circle,5,5.665154951,1.655328798
14,Circle,6,5.695389267,2.033257748
14,Circle,7,5.67271353,2.38851096
14,Circle,8,5.604686319,2.773998488
14,Circle,9,5.340136054,3.204837491
15,Circle,3,5.55785124,0.826446281
15,Circle,4,5.826446281,1.260330579
15,Circle,5,5.960743802,1.642561983
15,Circle,6,5.97107438,2.035123967
15,Circle,7,5.929752066,2.407024793
15,Circle,8,5.83677686,2.77892562
15,Circle,9,5.630165289,3.223140496
16,Circle,3,4.265046296,0.451388889
16,Circle,4,4.340277778,0.590277778
16,Circle,5,4.403935185,0.711805556
16,Circle,6,4.415509259,0.833333333
16,Circle,7,4.415509259,0.949074074
16,Circle,8,4.369212963,1.064814815
16,Circle,9,4.305555556,1.197916667
17,Circle,3,5.266343826,0.811138015
17,Circle,4,5.447941889,1.222760291
17,Circle,5,5.581113801,1.573849879
17,Circle,6,5.581113801,1.937046005
17,Circle,7,5.556900726,2.263922518
17,Circle,8,5.460048426,2.615012107
17,Circle,9,5.217917676,3.014527845
18,Circle,3,4.590464548,0.493074572
18,Circle,4,4.700488998,0.721271394
18,Circle,5,4.761613692,0.912793399
18,Circle,6,4.78606357,1.108392421
18,Circle,7,4.769761614,1.291766504
18,Circle,8,4.716790954,1.487365526
18,Circle,9,4.586387531,1.707414425
19,Circle,3,4.80964467,0.609137056
19,Circle,4,4.993654822,0.881979695
19,Circle,5,5.063451777,1.129441624
19,Circle,6,5.08248731,1.370558376
19,Circle,7,5.050761421,1.598984772
19,Circle,8,4.987309645,1.846446701
19,Circle,9,4.854060914,2.125634518
20,Circle,3,4.850107066,0.663811563
20,Circle,4,5.053533191,0.979657388
20,Circle,5,5.144539615,1.263383298
20,Circle,6,5.182012848,1.541755889
20,Circle,7,5.149892934,1.809421842
20,Circle,8,5.080299786,2.093147752
20,Circle,9,4.892933619,2.425053533
