"Colony","Nest","ColorID","SFZ","SFZ_Full","Area","ScaledX","ScaledY","Density","Day"
1,"Circle","W,Y,X,X",0.208333333333333,0.208333333333333,5.203608,4.483333333,1.705555556,"High",5
1,"Circle","W,Y,Y,W",0.25,0.25,5.203608,3.544444444,2.891666667,"High",5
1,"Circle","X,O,Lb,X",0.166666666666667,0.333333333333333,5.203608,4.175927778,2.020372222,"High",5
1,"Circle","X,X,Lb,G",0.25,0.25,5.203608,2.546294444,2.153705556,"High",5
1,"Circle","X,X,Lb,X",0.25,0.25,5.203608,3.338888889,1.557405556,"High",5
1,"Circle","X,X,P,X",0.125,0.125,5.203608,4.89815,1.19815,"High",5
1,"Circle","X,X,W,P",0.208333333333333,0.208333333333333,5.203608,4.286111111,2.638888889,"High",5
1,"Circle","X,X,X,O",0.166666666666667,0.166666666666667,5.203608,4.263888889,2.155555556,"High",5
1,"Circle","X,X,X,W",0.166666666666667,0.166666666666667,5.203608,4.268516667,1.542594444,"High",5
1,"Circle","X,Y,X,X",0.0833333333333333,0.291666666666667,5.203608,3.761111111,2.655555556,"High",5
1,"Circle","Y,B,DB,G",0.208333333333333,0.208333333333333,5.203608,3.680555556,2.747222222,"High",5
1,"Circle","Y,B,O,Y",0.166666666666667,0.333333333333333,5.203608,2.935183333,1.746294444,"High",5
1,"Circle","Y,DB,G,Y",0.166666666666667,0.291666666666667,5.203608,2.69815,1.124072222,"High",5
1,"Circle","Y,Db,Lb,W",0.125,0.125,5.203608,3.987038889,1.338888889,"High",5
1,"Circle","Y,DB,P,O",0.25,0.25,5.203608,3.630555556,2.444444444,"High",5
1,"Circle","Y,Db,X,X",0.208333333333333,0.208333333333333,5.203608,4.353705556,1.446294444,"High",5
1,"Circle","Y,G,LB,P",0.25,0.25,5.203608,3.683333333,1.238888889,"High",5
1,"Circle","Y,G,W,Y",0.208333333333333,0.208333333333333,5.203608,3.135183333,0.574072222,"High",5
1,"Circle","Y,LB,G,W",0.0833333333333333,0.375,5.203608,2.794444444,2.135183333,"High",5
1,"Circle","Y,O,DB,W",0.25,0.25,5.203608,3.872222222,2.994444444,"High",5
1,"Circle","Y,O,LB,Y",0.166666666666667,0.166666666666667,5.203608,3.153705556,1.538888889,"High",5
1,"Circle","Y,O,P,P",0.166666666666667,0.291666666666667,5.203608,4.522222222,2.533333333,"High",5
1,"Circle","Y,O,W,DB",0.333333333333333,0.416666666666667,5.203608,2.961111111,2.513888889,"High",5
1,"Circle","Y,P,G,LB",0.25,0.25,5.203608,4.464816667,2.138888889,"High",5
1,"Circle","Y,P,P,B",0.208333333333333,0.208333333333333,5.203608,3.363888889,2.205555556,"High",5
1,"Circle","Y,P,W,O",0.166666666666667,0.291666666666667,5.203608,3.627777778,1.657405556,"High",5
1,"Circle","Y,P,X,X",0.166666666666667,0.166666666666667,5.203608,2.761111111,1.535183333,"High",5
1,"Circle","Y,W,Db,Lb",0.0833333333333333,0.416666666666667,5.203608,2.935183333,1.938888889,"High",5
1,"Circle","Y,W,G,O",0.25,0.25,5.203608,3.005555556,2.652777778,"High",5
1,"Circle","Y,W,P,Y",0.25,0.25,5.203608,2.620372222,1.953705556,"High",5
1,"Circle","Y,X,W,X",0.166666666666667,0.166666666666667,5.203608,3.55,1.364816667,"High",5
1,"Circle","Y,Y,DB,DB",0.25,0.25,5.203608,3.346294444,2.038888889,"High",5
1,"Circle","Y,Y,LB,O",0.166666666666667,0.166666666666667,5.203608,3.946294444,1.709261111,"High",5
1,"Circle","Y,Y,O,LB",0.166666666666667,0.291666666666667,5.203608,3.730555556,2.922222222,"High",5
1,"Circle","G,LB,W,Y",0.0833333333333333,0.333333333333333,5.203608,3.946581305,2.639347167,"High",6
1,"Circle","G,O,X,X",0.166666666666667,0.166666666666667,5.203608,3.14698303,2.810219705,"High",6
1,"Circle","G,O,Y,G",0.208333333333333,0.208333333333333,5.203608,3.382548645,2.496682981,"High",6
1,"Circle","G,P,G,G",0.291666666666667,0.375,5.203608,2.576311355,2.616125542,"High",6
1,"Circle","G,P,LB,Y",0.25,0.333333333333333,5.203608,2.496682981,2.257797857,"High",6
1,"Circle","G,P,Y,LB",0.208333333333333,0.208333333333333,5.203608,4.069343374,1.899470173,"High",6
1,"Circle","G,W,LB,LB",0.291666666666667,0.333333333333333,5.203608,2.848376626,2.486729434,"High",6
1,"Circle","G,W,W,P",0.25,0.375,5.203608,3.263106084,2.679161354,"High",6
1,"Circle","G,Y,X,X",0.166666666666667,0.166666666666667,5.203608,3.505310715,2.896482118,"High",6
1,"Circle","G,Y,Y,P",0.208333333333333,0.208333333333333,5.203608,3.724288744,2.018912734,"High",6
1,"Circle","W,B,Db,Lb",0.125,0.125,5.203608,3.11712239,1.350362857,"High",6
1,"Circle","W,B,O,G",0.25,0.375,5.203608,3.017586922,1.677172635,"High",6
1,"Circle","W,B,W,B",0.125,0.125,5.203608,4.052755789,2.793627142,"High",6
1,"Circle","W,DB,P,P",0.125,0.125,5.203608,4.275048349,2.367286872,"High",6
1,"Circle","W,Db,X,X",0.25,0.25,5.203608,2.931319532,0.982081625,"High",6
1,"Circle","W,Db,Y,Lb",0.166666666666667,0.166666666666667,5.203608,3.767417463,1.449898325,"High",6
1,"Circle","W,G,B,LB",0.25,0.25,5.203608,4.251826725,2.294292537,"High",6
1,"Circle","W,G,G,W",0,0.333333333333333,5.203608,2.622759581,1.989052094,"High",6
1,"Circle","G,G,G,W",0.166666666666667,0.166666666666667,5.203608,3.296286232,2.89316261,"High",6
1,"Circle","W,G,Y,Y",0.166666666666667,0.333333333333333,5.203608,3.717649729,1.420037684,"High",6
1,"Circle","W,O,B,P",0.166666666666667,0.166666666666667,5.203608,3.442269926,1.463171379,"High",6
1,"Circle","W,O,O,W",0.166666666666667,0.333333333333333,5.203608,4.367949778,2.237890764,"High",6
1,"Circle","W,P,O,Y",0.208333333333333,0.375,5.203608,4.450897661,2.450229778,"High",6
1,"Circle","W,P,P,W",0.166666666666667,0.166666666666667,5.203608,3.269740123,1.582613941,"High",6
1,"Circle","W,P,X,X",0,0.333333333333333,5.203608,4.069343374,1.580956675,"High",6
1,"Circle","W,W,O,LB",0.25,0.333333333333333,5.203608,2.407101059,2.221298201,"High",6
1,"Circle","W,W,X,X",0.25,0.25,5.203608,3.452223473,1.008627734,"High",6
1,"Circle","W,X,X,X",0.166666666666667,0.333333333333333,5.203608,3.040808547,2.032180812,"High",6
1,"Circle","W,Y,G,B",0.0833333333333333,0.291666666666667,5.203608,3.850365345,1.809888252,"High",6
1,"Circle","W,Y,O,DB",0.25,0.25,5.203608,4.450897661,2.081948546,"High",6
1,"Circle","W,Y,P,LB",0.166666666666667,0.166666666666667,5.203608,3.488718152,1.647311995,"High",6
1,"Circle","X,Db,Db,X",0.208333333333333,0.208333333333333,5.203608,4.344723177,1.614131847,"High",6
1,"Circle","X,O,Lb,X",0.166666666666667,0.333333333333333,5.203608,3.55839298,2.327472685,"High",6
1,"Circle","X,W,X,X",0.125,0.125,5.203608,3.800597611,2.582945394,"High",6
1,"Circle","X,X,Lb,G",0.25,0.25,5.203608,2.695753916,2.543131207,"High",6
